,0
"#Available_Scooters_(15,_2)",15.0
"#Available_Scooters_(15,_3)",4.0
"#Available_Scooters_(15,_4)",1.0
"#Available_Scooters_(15,_5)",0.0
"#Available_Scooters_(15,_6)",0.0
"#Available_Scooters_(15,_7)",0.0
"#Available_Scooters_(15,_8)",0.0
"#Available_Scooters_(15,_9)",0.0
"#Available_Scooters_(16,_0)",13.0
"#Available_Scooters_(16,_1)",11.0
"#Available_Scooters_(16,_10)",4.0
"#Available_Scooters_(16,_11)",4.0
"#Available_Scooters_(16,_12)",4.0
"#Available_Scooters_(16,_13)",8.0
"#Available_Scooters_(16,_14)",9.0
"#Available_Scooters_(16,_15)",11.0
"#Available_Scooters_(16,_16)",13.0
"#Available_Scooters_(16,_17)",13.0
"#Available_Scooters_(16,_18)",13.0
"#Available_Scooters_(16,_19)",13.0
"#Available_Scooters_(16,_2)",9.0
"#Available_Scooters_(16,_3)",3.0
"#Available_Scooters_(16,_4)",2.0
"#Available_Scooters_(16,_5)",0.0
"#Available_Scooters_(16,_6)",0.0
"#Available_Scooters_(16,_7)",0.0
"#Available_Scooters_(16,_8)",0.0
"#Available_Scooters_(16,_9)",0.0
"#Available_Scooters_(17,_0)",11.0
"#Available_Scooters_(17,_1)",9.0
"#Available_Scooters_(17,_10)",4.0
"#Available_Scooters_(17,_11)",5.0
"#Available_Scooters_(17,_12)",7.0
"#Available_Scooters_(17,_13)",7.0
"#Available_Scooters_(17,_14)",9.0
"#Available_Scooters_(17,_15)",11.0
"#Available_Scooters_(17,_16)",11.0
"#Available_Scooters_(17,_17)",11.0
"#Available_Scooters_(17,_18)",11.0
"#Available_Scooters_(17,_19)",11.0
"#Available_Scooters_(17,_2)",9.0
"#Available_Scooters_(17,_3)",7.0
"#Available_Scooters_(17,_4)",3.0
"#Available_Scooters_(17,_5)",1.0
"#Available_Scooters_(17,_6)",1.0
"#Available_Scooters_(17,_7)",1.0
"#Available_Scooters_(17,_8)",1.0
"#Available_Scooters_(17,_9)",1.0
"#Available_Scooters_(18,_0)",15.0
"#Available_Scooters_(18,_1)",13.0
"#Available_Scooters_(18,_10)",2.0
"#Available_Scooters_(18,_11)",6.0
"#Available_Scooters_(18,_12)",8.0
"#Available_Scooters_(18,_13)",11.0
"#Available_Scooters_(18,_14)",13.0
"#Available_Scooters_(18,_15)",15.0
"#Available_Scooters_(18,_16)",15.0
"#Available_Scooters_(18,_17)",15.0
"#Available_Scooters_(18,_18)",15.0
"#Available_Scooters_(18,_19)",15.0
"#Available_Scooters_(18,_2)",10.0
"#Available_Scooters_(18,_3)",5.0
"#Available_Scooters_(18,_4)",2.0
"#Available_Scooters_(18,_5)",0.0
"#Available_Scooters_(18,_6)",0.0
"#Available_Scooters_(18,_7)",0.0
"#Available_Scooters_(18,_8)",0.0
"#Available_Scooters_(18,_9)",0.0
"#Available_Scooters_(19,_0)",8.0
"#Available_Scooters_(19,_1)",8.0
"#Available_Scooters_(19,_10)",0.0
"#Available_Scooters_(19,_11)",2.0
"#Available_Scooters_(19,_12)",4.0
"#Available_Scooters_(19,_13)",7.0
"#Available_Scooters_(19,_14)",8.0
"#Available_Scooters_(19,_15)",8.0
"#Available_Scooters_(19,_16)",8.0
"#Available_Scooters_(19,_17)",8.0
"#Available_Scooters_(19,_18)",8.0
"#Available_Scooters_(19,_19)",8.0
"#Available_Scooters_(19,_2)",6.0
"#Available_Scooters_(19,_3)",2.0
"#Available_Scooters_(19,_4)",0.0
"#Available_Scooters_(19,_5)",0.0
"#Available_Scooters_(19,_6)",0.0
"#Available_Scooters_(19,_7)",0.0
"#Available_Scooters_(19,_8)",0.0
"#Available_Scooters_(19,_9)",0.0
"#Available_Scooters_(2,_0)",5.0
"#Available_Scooters_(2,_1)",9.0
"#Available_Scooters_(2,_10)",34.0
"#Available_Scooters_(2,_11)",30.0
"#Available_Scooters_(2,_12)",24.0
"#Available_Scooters_(2,_13)",15.0
"#Available_Scooters_(2,_14)",10.0
"#Available_Scooters_(2,_15)",6.0
"#Available_Scooters_(2,_16)",5.0
"#Available_Scooters_(2,_17)",5.0
"#Available_Scooters_(2,_18)",5.0
"#Available_Scooters_(2,_19)",5.0
"#Available_Scooters_(2,_2)",19.0
"#Available_Scooters_(2,_3)",26.0
"#Available_Scooters_(2,_4)",33.0
"#Available_Scooters_(2,_5)",37.0
"#Available_Scooters_(2,_6)",38.0
"#Available_Scooters_(2,_7)",38.0
"#Available_Scooters_(2,_8)",38.0
"#Available_Scooters_(2,_9)",38.0
"#Available_Scooters_(20,_0)",1.0
"#Available_Scooters_(20,_1)",4.0
"#Available_Scooters_(20,_10)",15.0
"#Available_Scooters_(20,_11)",10.0
"#Available_Scooters_(20,_12)",7.0
"#Available_Scooters_(20,_13)",6.0
"#Available_Scooters_(20,_14)",2.0
"#Available_Scooters_(20,_15)",1.0
"#Available_Scooters_(20,_16)",1.0
"#Available_Scooters_(20,_17)",1.0
"#Available_Scooters_(20,_18)",1.0
"#Available_Scooters_(20,_19)",1.0
"#Available_Scooters_(20,_2)",9.0
"#Available_Scooters_(20,_3)",12.0
"#Available_Scooters_(20,_4)",17.0
"#Available_Scooters_(20,_5)",18.0
"#Available_Scooters_(20,_6)",18.0
"#Available_Scooters_(20,_7)",18.0
