Row Labels,Balgreen and Roseburn,Blackhall,Broughton North and Powderhall,Broughton South,Bruntsfield,Comely Bank,Dalry and Fountainbridge,Drylaw,Gorgie East,Hillside and Calton Hill,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Merchiston and Greenhill,New Town East and Gayfield,Newington and Dalkeith Road,"Old Town, Princes Street and Leith Street",Prestonfield,Stockbridge,Tollcross
Balgreen and Roseburn,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackhall,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Broughton North and Powderhall,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1
Broughton South,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruntsfield,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
Comely Bank,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Dalry and Fountainbridge,1,1,1,0,1,0,3,1,2,1,0,0,1,1,0,0,1,0,1,1
Drylaw,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gorgie East,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hillside and Calton Hill,1,1,1,1,1,0,1,0,0,2,0,0,1,0,1,1,1,0,1,1
Marchmont East and Sciennes,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1
Marchmont West,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Meadowbank and Abbeyhill North,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Merchiston and Greenhill,1,1,1,1,2,1,2,1,1,1,1,1,1,2,0,1,1,0,1,2
New Town East and Gayfield,0,1,1,2,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1
Newington and Dalkeith Road,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
"Old Town, Princes Street and Leith Street",5,5,9,8,10,5,8,3,5,12,10,8,10,6,6,7,12,3,10,9
Prestonfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stockbridge,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,2,1
Tollcross,4,6,4,5,8,5,8,2,4,5,4,4,4,5,3,3,3,2,9,9
