Location,Abbeyhill,Baberton and Juniper Green,Balerno and Bonnington Village,Balgreen and Roseburn,"Barnton, Cammo and Cramond South","Bingham, Magdalene and The Christians","Blackford, West Mains and Mayfield Road",Blackhall,Bonaly and The Pentlands,Bonnington,Boswall and Pilton,Broomhouse and Bankhead,Broughton North and Powderhall,Broughton South,Bruntsfield,"Canongate, Southside and Dumbiedykes",Canonmills and New Town North,Carrick Knowe,Clermiston and Drumbrae,Clovenstone and Wester Hailes,Colinton and Kingsknowe,Colinton Mains and Firrhill,Comely Bank,Comiston and Swanston,Corstorphine,Corstorphine North,Corstorphine South,Craigentinny,"Craigleith, Orchard Brae and Crewe Toll",Craiglockhart,Craigmillar,Cramond,Currie East,Currie West,"Dalmeny, Kirkliston and Newbridge",Dalry and Fountainbridge,Deans Village,Drylaw,Duddingston and Portobello South,East Craigs North,East Craigs South,Easter Road and Hawkhill Avenue,Fairmilehead,Fernieside and Moredun South,Gilmerton South and the Murrays,Gorgie East,Gorgie West,"Gracemount, Southhouse and Burdiehouse",Granton and Royston Mains,Granton South and Wardieburn,Granton West and Salvesen,Great Junction Street,Greenbank and The Braids,Hillside and Calton Hill,Hyvots and Gilmerton,"Inverleith, Goldenacre and Warriston","Jewel, Brunstane and Newcraighall",Joppa,Leith (Albert Street),Leith (Hermitage and Prospect Bank),Liberton East,Liberton West and Braid Hills,Longstone and Saughton,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Meadows and Southside,Merchiston and Greenhill,Moredun and Craigour,Morningside,Morningside and Craighouse,Mortonhall and Anwickhill,Mountcastle,Muirhouse,Murrayburn and Wester Hailes North,Murrayfield and Ravelston,New Town East and Gayfield,New Town West,Newington and Dalkeith Road,Niddrie,North Leith and Newhaven,Northfield and Piershill,"Old Town, Princes Street and Leith Street",Oxgangs,Parkhead and Sighthill,Pilrig,Polwarth,Portobello,Prestonfield,Queensferry East,Queensferry West,"Ratho, Ingliston and Gogar",Restalrig (Loganlea) and Craigentinny West,Restalrig and Lochend,Shandon,Silverknowes and Davidson's Mains,Slateford and Chesser,South Gyle,South Leith,Stenhouse and Saughton Mains,Stockbridge,The Calders,The Grange,The Inch,The Shore and Constitution Street,Tollcross,Trinity,Trinity East and The Dudleys,West Pilton,Western Harbour and Leith Docks,Willowbrae and Duddingston Village
Boswall and Pilton,4.075,8.298,12.473,3.771,5.273,7.852,5.982,2.694,8.207,2.38,,6.111,2.24,2.693,4.071,4.064,2.236,5.034,4.461,7.545,7.272,7.115,1.851,7.79,4.92,4.623,5.67,5.99,1.507,5.776,6.958,4.809,9.588,10.435,11.126,3.47,2.779,1.76,7.024,5.386,5.697,3.775,7.901,8.96,9.626,3.695,4.208,8.966,0.676,0.522,1.61,3.157,6.322,3.434,9.229,1.188,8.587,8.42,3.297,4.174,8.402,7.534,5.99,4.534,4.397,4.281,4.328,4.582,8.466,5.322,5.622,8.5,6.258,2.264,6.955,2.862,2.76,2.355,5.046,7.855,2.519,5.773,3.414,7.449,6.583,2.96,3.952,7.197,6.002,10.392,11.726,9.975,5.206,4.548,4.439,2.919,4.963,6.194,3.526,5.096,1.885,7.455,5.252,7.336,3.576,3.495,1.014,1.973,1.2,3.029,5.57
Broomhouse and Bankhead,7.524,2.287,6.372,2.457,4.294,10.481,6.409,3.739,2.923,7.526,6.111,,6.737,7.042,4.435,6.495,6.185,1.102,3.241,1.679,2.708,3.603,4.948,4.641,1.673,2.512,0.838,9.698,4.683,2.481,8.59,5.197,3.489,4.327,8.307,4.152,4.294,4.517,9.819,3.376,2.617,7.872,5.553,9.262,9.108,3.504,2.735,8,6.242,6.484,5.566,8.173,3.841,7.255,8.89,6.385,10.949,11.474,7.494,8.678,8.265,7.205,1.09,5.724,5.15,7.987,5.97,4.163,8.757,4.574,3.863,7.241,9.521,4.824,1.022,3.338,6.564,5.692,6.609,9.777,8.063,9.011,6.072,4.102,0.535,7.586,3.718,10.612,7.302,9.476,10.687,5.447,9.038,8.675,3.109,4.421,2.162,1.687,8.095,1.205,5.49,1.354,5.894,7.659,8.704,5.014,6.877,7.59,5.272,8.545,8.655
Broughton North and Powderhall,1.842,8.63,13.004,4.299,7.134,5.612,4.261,4.233,8.116,0.876,2.24,6.737,,0.464,3.135,2.102,0.583,5.811,6.086,7.832,7.041,6.53,1.84,6.939,6.022,6.017,6.558,3.806,2.477,5.53,4.821,6.863,10.004,10.959,12.999,2.878,2.478,3.431,4.784,7.033,7.132,1.571,6.753,6.959,7.764,3.431,4.187,7.266,2.9,2.606,3.789,1.436,5.567,1.196,7.351,1.053,6.348,6.201,1.083,2.143,6.534,5.802,6.249,2.933,3.06,2.045,2.607,3.712,6.496,4.237,4.832,6.926,4.027,4.263,7.354,3.505,0.665,1.107,3.146,5.648,1.551,3.536,1.619,6.732,7.102,0.901,3.451,4.998,4.018,12.525,13.866,11.403,3.017,2.398,4.125,4.836,4.972,7.336,1.482,5.555,1.259,8.07,3.631,5.45,1.967,2.335,1.597,1.34,3.232,1.923,3.33
Broughton South,1.42,8.871,13.259,4.627,7.584,5.163,4.069,4.671,8.283,0.9,2.693,7.042,0.464,,3.225,1.877,0.87,6.149,6.52,8.071,7.191,6.612,2.22,6.955,6.4,6.429,6.903,3.343,2.91,5.699,4.45,7.325,10.252,11.221,13.444,3.065,2.752,3.884,4.335,7.465,7.542,1.108,6.696,6.636,7.489,3.657,4.43,7.046,3.346,3.039,4.251,1.187,5.626,0.771,7.072,1.505,5.904,5.739,0.62,1.721,6.264,5.584,6.501,2.825,3.038,1.588,2.469,3.792,6.188,4.244,4.898,6.749,3.568,4.726,7.617,3.869,0.571,1.352,2.909,5.234,1.579,3.081,1.527,6.782,7.387,0.547,3.628,4.534,3.727,12.988,14.33,11.799,2.554,1.941,4.315,5.294,5.201,7.709,1.076,5.849,1.628,8.363,3.491,5.182,1.705,2.416,1.983,1.528,3.696,1.841,2.885
Bruntsfield,3.22,5.874,10.266,2.541,6.664,6.093,2.43,3.953,5.102,4.008,4.071,4.435,3.135,3.225,,2.099,2.577,3.867,5.348,5.083,3.993,3.396,2.223,3.845,4.474,4.911,4.607,5.3,2.872,2.554,4.338,6.906,7.258,8.268,12.101,0.711,1.378,3.774,5.4,6.155,5.877,3.723,3.835,5.624,5.962,1.113,1.738,5.116,4.638,4.593,4.85,4.403,2.437,3.124,5.614,3.458,6.619,7.056,3.464,4.566,4.819,3.8,3.62,1.319,0.764,3.695,1.536,0.577,5.092,1.251,1.7,4.549,5.089,4.745,4.742,2.432,2.656,2.087,2.221,5.507,4.686,4.584,1.837,3.604,4.636,3.742,0.752,6.178,3.051,12.421,13.748,9.746,4.689,4.429,1.334,4.966,2.305,5.607,4.104,3.267,2.313,5.613,1.714,3.887,4.9,0.809,4.187,4.406,4.203,5.04,4.226
"Canongate, Southside and Dumbiedykes",1.179,7.963,12.346,4.359,8.107,4.27,2.194,5.177,7.098,2.774,4.064,6.495,2.102,1.877,2.099,,1.847,5.822,6.874,7.176,5.976,5.192,2.692,5.348,6.309,6.584,6.582,3.207,3.564,4.616,2.939,8.102,9.343,10.359,13.804,2.377,2.54,4.639,3.499,7.769,7.64,1.825,4.945,4.909,5.667,3.016,3.762,5.175,4.737,4.523,5.388,2.829,4.17,1.349,5.255,2.991,4.902,5.128,1.759,2.638,4.436,3.711,5.718,1.105,1.543,1.644,0.717,2.54,4.428,2.707,3.498,4.874,3.05,5.613,6.841,3.901,1.438,1.76,1.044,3.957,3.44,2.528,0.684,5.265,6.724,2.21,2.779,4.145,1.948,13.771,15.115,11.697,2.592,2.394,3.425,6.041,4.397,7.534,2.341,5.304,2.285,7.705,1.662,3.352,3.229,1.503,3.658,3.394,4.745,3.622,2.182
Canonmills and New Town North,1.939,8.053,12.431,3.76,6.805,5.724,3.906,3.866,7.533,1.454,2.236,6.185,0.583,0.87,2.577,1.847,,5.281,5.7,7.254,6.46,5.965,1.361,6.402,5.532,5.58,6.033,4.079,2.107,4.947,4.723,6.616,9.429,10.388,12.645,2.295,1.907,3.133,4.901,6.641,6.691,1.886,6.26,6.756,7.488,2.849,3.609,6.921,2.912,2.679,3.665,1.997,5.013,1.362,7.081,1.148,6.434,6.398,1.42,2.58,6.257,5.462,5.675,2.513,2.566,2.252,2.227,3.154,6.273,3.713,4.277,6.537,4.213,4.034,6.783,3,0.575,0.524,2.865,5.64,2.116,3.697,1.244,6.179,6.539,1.405,2.869,5.236,3.795,12.298,13.643,10.938,3.3,2.741,3.542,4.559,4.392,6.84,1.945,4.996,0.77,7.511,3.23,5.178,2.527,1.788,1.845,1.839,3.058,2.504,3.445
Carrick Knowe,6.77,3.38,7.439,1.526,3.631,9.958,6.081,2.642,3.812,6.564,5.034,1.102,5.811,6.149,3.867,5.822,5.281,,2.411,2.721,3.331,3.969,3.986,5,0.868,1.691,0.766,8.986,3.637,2.559,8.171,4.39,4.587,5.403,8.36,3.445,3.444,3.416,9.252,2.808,2.229,7.047,5.774,9.109,9.108,2.813,2.135,8.047,5.145,5.394,4.467,7.244,3.92,6.437,8.847,5.375,10.482,10.905,6.64,7.826,8.158,7.083,1.542,5.185,4.623,7.219,5.377,3.725,8.588,4.294,3.732,7.314,8.871,3.739,2.069,2.332,5.705,4.812,6.087,9.352,7.07,8.349,5.326,4.47,1.618,6.685,3.116,9.967,6.875,9.15,10.417,5.886,8.289,7.874,2.635,3.373,1.867,1.742,7.218,0.801,4.553,2.423,5.477,7.433,7.773,4.318,5.831,6.581,4.171,7.563,8.003
Clermiston and Drumbrae,7.541,5.4,8.816,2.883,1.337,11.144,7.766,1.857,6.149,6.615,4.461,3.241,6.086,6.52,5.348,6.874,5.7,2.411,,4.903,5.741,6.336,4.363,7.35,1.589,0.733,2.418,9.757,3.611,4.858,9.616,1.981,6.34,6.922,6.96,4.713,4.345,2.743,10.363,0.948,1.333,7.585,8.037,10.938,11.119,4.249,3.896,10.127,4.244,4.605,3.21,7.388,6.145,7.043,10.815,5.289,11.767,11.963,7.113,8.23,10.065,9.001,3.95,6.579,6.089,7.92,6.647,5.436,10.406,6.161,5.801,9.432,9.806,2.35,4.255,2.993,6.245,5.38,7.445,10.747,6.924,9.276,6.242,6.83,3.759,6.98,4.654,10.874,8.361,7.086,8.406,5.521,8.989,8.44,4.459,1.703,4.018,2.224,7.567,3.142,4.937,4.194,7.062,9.208,7.876,5.477,5.454,6.38,3.288,7.441,8.971
Clovenstone and Wester Hailes,8.301,0.8,5.199,3.776,5.88,10.805,6.561,5.348,1.422,8.672,7.545,1.679,7.832,8.071,5.083,7.176,7.254,2.721,4.903,,1.797,2.959,6.158,3.869,3.35,4.18,2.485,10.352,6.06,2.592,8.794,6.836,2.185,3.185,9.152,5.022,5.357,6.059,10.231,4.938,4.125,8.761,4.922,9.034,8.654,4.414,3.645,7.509,7.752,7.959,7.164,9.245,3.62,8.146,8.506,7.65,11.174,11.857,8.442,9.596,7.999,7.004,1.592,6.235,5.682,8.775,6.55,4.654,8.569,4.793,3.956,6.74,10.074,6.457,0.658,4.689,7.543,6.736,7.048,9.959,9.266,9.596,6.884,3.378,1.147,8.617,4.487,11.136,7.564,10.724,11.865,5.866,9.768,9.504,3.798,6.086,2.871,3.055,9.071,2.45,6.639,1.161,6.21,7.596,9.772,5.804,8.216,8.835,6.815,9.718,9.231
Colinton and Kingsknowe,7.148,2.362,6.494,3.674,6.922,9.254,4.988,5.598,1.122,7.914,7.272,2.708,7.041,7.191,3.993,5.976,6.46,3.331,5.741,1.797,,1.173,5.611,2.081,4.169,5.016,3.505,9.04,5.772,1.528,7.201,7.721,3.6,4.635,10.834,4.168,4.69,6.089,8.741,6.038,5.315,7.704,3.125,7.268,6.858,3.686,3.066,5.712,7.625,7.748,7.284,8.377,1.987,7.113,6.716,7.096,9.564,10.331,7.457,8.546,6.231,5.261,1.791,4.933,4.433,7.618,5.291,3.463,6.817,3.358,2.509,4.944,8.687,6.726,2.014,4.49,6.629,5.939,5.651,8.34,8.564,8.242,5.825,1.581,2.37,7.721,3.593,9.712,6.03,12.177,13.374,7.641,8.533,8.366,2.942,6.522,2.319,4.382,8.097,2.662,5.979,2.894,4.757,5.895,8.884,4.79,7.753,8.206,6.804,8.964,7.879
Colinton Mains and Firrhill,6.37,3.532,7.554,3.862,7.597,8.182,3.935,5.853,2.145,7.403,7.115,3.603,6.53,6.612,3.396,5.192,5.965,3.969,6.336,2.959,1.173,,5.333,1.043,4.836,5.642,4.318,8.125,5.666,1.527,6.114,8.285,4.732,5.76,11.87,3.753,4.38,6.18,7.71,6.769,6.117,6.985,1.993,6.096,5.698,3.421,3.008,4.556,7.554,7.619,7.386,7.779,1.023,6.424,5.547,6.751,8.458,9.27,6.796,7.818,5.058,4.096,2.546,4.102,3.669,6.829,4.481,2.822,5.647,2.488,1.719,3.786,7.724,6.943,3.091,4.531,6.041,5.462,4.724,7.231,8.079,7.306,5.153,0.505,3.369,7.116,3.203,8.717,4.992,13.046,14.277,8.762,7.676,7.579,2.679,6.85,2.449,5.286,7.431,3.196,5.6,4.017,3.807,4.748,8.263,4.202,7.452,7.779,6.838,8.435,6.947
Comely Bank,3.187,6.946,11.275,2.493,5.512,6.885,4.29,2.558,6.619,2.581,1.851,4.948,1.84,2.22,2.223,2.692,1.361,3.986,4.363,6.158,5.611,5.333,,5.959,4.184,4.22,4.725,5.394,0.871,4.086,5.616,5.423,8.3,9.225,11.32,1.625,0.953,1.947,6.079,5.298,5.33,3.239,6.05,7.399,7.947,1.936,2.578,7.213,2.42,2.373,2.783,3.262,4.496,2.681,7.566,1.501,7.557,7.64,2.78,3.938,6.743,5.812,4.566,2.849,2.613,3.558,2.728,2.731,6.884,3.473,3.785,6.706,5.466,2.924,5.635,1.667,1.885,1.024,3.52,6.649,3.123,4.938,2.011,5.639,5.343,2.733,2.135,6.521,4.5,11.104,12.45,9.579,4.627,4.094,2.691,3.357,3.373,5.497,3.296,3.792,0.592,6.295,3.538,5.709,3.79,1.716,2.143,2.677,2.124,3.598,4.651
Comiston and Swanston,6.502,4.345,8.071,4.78,8.623,7.815,3.711,6.764,2.808,7.797,7.79,4.641,6.939,6.955,3.845,5.348,6.402,5,7.35,3.869,2.081,1.043,5.959,,5.868,6.664,5.361,8.038,6.398,2.5,5.739,9.285,5.417,6.414,12.886,4.337,5.014,7.012,7.434,7.805,7.159,7.173,1.088,5.369,4.829,4.129,3.852,3.681,8.279,8.306,8.21,8.083,1.47,6.656,4.725,7.297,8.003,8.916,7.051,7.981,4.335,3.481,3.588,4.244,3.921,6.936,4.633,3.277,4.964,2.711,2.176,2.924,7.568,7.827,4.079,5.368,6.388,5.928,4.696,6.784,8.485,7.199,5.441,0.539,4.387,7.424,3.839,8.495,4.756,14.089,15.319,9.722,7.678,7.674,3.436,7.78,3.396,6.326,7.668,4.219,6.145,4.975,3.788,4.218,8.536,4.614,8.02,8.24,7.632,8.796,6.854
Corstorphine,7.171,3.909,7.672,1.958,2.767,10.523,6.785,2.302,4.563,6.707,4.92,1.673,6.022,6.4,4.474,6.309,5.532,0.868,1.589,3.35,4.169,4.836,4.184,5.868,,0.856,0.898,9.407,3.666,3.418,8.811,3.567,4.978,5.684,7.641,3.962,3.819,3.193,9.788,1.943,1.429,7.37,6.633,9.869,9.916,3.373,2.8,8.871,4.916,5.212,4.092,7.43,4.768,6.776,9.644,5.446,11.081,11.432,6.935,8.11,8.937,7.862,2.379,5.783,5.238,7.601,5.935,4.412,9.343,5.041,4.537,8.146,9.347,3.287,2.695,2.536,6.009,5.107,6.683,9.981,7.15,8.819,5.758,5.338,2.203,6.917,3.726,10.439,7.52,8.302,9.579,5.426,8.681,8.215,3.341,2.81,2.677,1.317,7.476,1.659,4.773,2.78,6.143,8.172,7.951,4.818,5.807,6.634,3.916,7.658,8.484
Corstorphine North,7.342,4.699,8.262,2.38,1.961,10.845,7.297,1.93,5.416,6.623,4.623,2.512,6.017,6.429,4.911,6.584,5.58,1.691,0.733,4.18,5.016,5.642,4.22,6.664,0.856,,1.698,9.577,3.562,4.185,9.23,2.712,5.69,6.324,7.227,4.322,4.046,2.864,10.083,1.254,1.115,7.457,7.386,10.437,10.56,3.798,3.351,9.543,4.509,4.842,3.567,7.378,5.501,6.888,10.269,5.316,11.439,11.706,6.999,8.149,9.537,8.466,3.225,6.185,5.668,7.747,6.29,4.937,9.907,5.625,5.203,8.834,9.577,2.719,3.53,2.689,6.099,5.209,7.071,10.381,6.997,9.045,5.984,6.14,3.034,6.918,4.187,10.659,7.955,7.622,8.922,5.407,8.825,8.312,3.911,2.148,3.379,1.674,7.496,2.446,4.81,3.517,6.617,8.719,7.884,5.134,5.576,6.462,3.515,7.513,8.726
Corstorphine South,7.535,3.014,6.835,2.288,3.457,10.7,6.766,3.137,3.762,7.297,5.67,0.838,6.558,6.903,4.607,6.582,6.033,0.766,2.418,2.485,3.505,4.318,4.725,5.361,0.898,1.698,,9.751,4.325,3.043,8.887,4.362,4.089,4.825,7.737,4.205,4.208,3.989,10.001,2.545,1.813,7.81,6.218,9.739,9.673,3.57,2.869,8.588,5.723,5.998,4.952,7.987,4.425,7.201,9.431,6.085,11.212,11.655,7.401,8.586,8.768,7.696,1.774,5.924,5.357,7.984,6.126,4.432,9.223,4.955,4.33,7.841,9.631,4.165,1.839,3.062,6.466,5.571,6.824,10.071,7.786,9.11,6.091,4.822,1.342,7.436,3.859,10.727,7.591,8.728,9.962,5.14,9.055,8.638,3.343,3.705,2.497,1.049,7.974,1.398,5.299,1.889,6.186,8.087,8.515,5.079,6.508,7.287,4.73,8.284,8.763
Craigentinny,2.238,11.13,15.49,7.488,10.883,2.214,4.341,7.939,10.158,3.687,5.99,9.698,3.806,3.343,5.3,3.207,4.079,8.986,9.757,10.352,9.04,8.125,5.394,8.038,9.407,9.577,9.751,,6.185,7.77,2.917,10.665,12.502,13.527,16.713,5.557,5.587,7.204,1.532,10.69,10.67,2.235,7.346,5.155,6.348,6.204,6.963,6.442,6.611,6.265,7.579,3.02,7.118,2.719,5.947,4.819,2.981,2.465,2.723,1.922,5.337,5.242,8.92,4.127,4.671,1.836,3.802,5.698,4.919,5.684,6.531,6.522,0.681,8.067,10.039,6.905,3.518,4.378,3.402,2.895,3.925,0.843,3.661,8.09,9.93,3.034,5.984,1.213,3.344,16.331,17.672,14.827,0.789,1.449,6.63,8.624,7.602,10.67,2.496,8.503,4.826,10.911,4.318,4.497,2.874,4.687,5.132,4.309,7.037,3.657,1.184
"Craigleith, Orchard Brae and Crewe Toll",4.01,6.823,11.055,2.284,4.698,7.742,5.093,1.763,6.7,3.065,1.507,4.683,2.477,2.91,2.872,3.564,2.107,3.637,3.611,6.06,5.772,5.666,0.871,6.398,3.666,3.562,4.325,6.185,,4.286,6.485,4.561,8.134,9.009,10.541,2.189,1.495,1.076,6.931,4.556,4.676,3.985,6.612,8.234,8.738,2.27,2.714,7.96,1.888,1.977,1.987,3.816,4.929,3.466,8.366,1.78,8.42,8.474,3.508,4.62,7.547,6.588,4.493,3.671,3.376,4.354,3.578,3.305,7.715,4.092,4.262,7.417,6.293,2.054,5.484,1.371,2.669,1.867,4.378,7.52,3.484,5.77,2.882,6.026,5.133,3.373,2.583,7.334,5.356,10.245,11.591,8.966,5.407,4.837,2.989,2.494,3.458,4.979,3.959,3.619,1.369,6.036,4.336,6.53,4.323,2.508,2.195,2.97,1.333,3.992,5.493
Craiglockhart,5.765,3.361,7.73,2.344,6.147,8.24,4.038,4.332,2.586,6.4,5.776,2.481,5.53,5.699,2.554,4.616,4.947,2.559,4.858,2.592,1.528,1.527,4.086,2.5,3.418,4.185,3.043,7.77,4.286,,6.262,6.785,4.733,5.757,10.761,2.652,3.162,4.702,7.647,5.36,4.774,6.275,3.215,6.785,6.641,2.158,1.573,5.547,6.16,6.262,5.908,6.886,1.382,5.671,6.413,5.568,8.642,9.281,5.998,7.117,5.785,4.727,1.409,3.646,3.1,6.239,3.97,2.078,6.284,2.224,1.425,4.798,7.482,5.431,2.383,3.063,5.144,4.425,4.456,7.441,7.044,7.006,4.387,1.997,2.447,6.235,2.079,8.544,5.006,11.706,12.967,7.903,7.205,6.979,1.415,5.324,0.925,4.075,6.637,1.759,4.452,3.333,3.63,5.207,7.399,3.325,6.229,6.68,5.386,7.452,6.642
Craigmillar,3.064,9.503,13.668,6.876,10.899,2.078,2.233,8.024,8.256,5.224,6.958,8.59,4.821,4.45,4.338,2.939,4.723,8.171,9.616,8.794,7.201,6.114,5.616,5.739,8.811,9.23,8.887,2.917,6.485,6.262,,10.984,10.798,11.835,16.437,4.911,5.302,7.556,1.779,10.463,10.214,3.696,4.854,2.341,3.46,5.447,6.038,3.54,7.635,7.389,8.326,4.896,5.218,3.691,3.049,5.826,2.381,3.178,4.004,4.06,2.421,2.479,7.617,3.045,3.574,3.128,2.979,4.455,2.026,4.044,4.848,3.703,2.261,8.539,8.645,6.627,4.215,4.698,2.172,1.187,5.756,2.186,3.622,5.934,8.674,4.509,5.085,2.9,1.296,16.621,17.961,14.008,3.04,3.505,5.544,8.937,6.437,9.912,4.261,7.504,5.223,9.593,2.703,1.68,5.041,4.149,6.417,5.913,7.684,5.718,2.026
Cramond,8.55,7.275,10.31,4.644,1.13,12.302,9.33,2.974,8.116,7.178,4.809,5.197,6.863,7.325,6.906,8.102,6.616,4.39,1.981,6.836,7.721,8.285,5.423,9.285,3.567,2.712,4.362,10.665,4.561,6.785,10.984,,8.089,8.546,6.397,6.217,5.705,3.493,11.489,2.017,2.851,8.432,9.92,12.527,12.824,5.87,5.671,11.884,4.337,4.733,3.221,7.961,8.025,7.972,12.496,5.894,12.98,13.013,7.945,8.942,11.715,10.674,5.931,8.023,7.597,8.861,8.016,7.1,11.996,7.87,7.615,11.219,10.828,2.601,6.199,4.475,7.19,6.427,8.829,12.056,7.308,10.311,7.428,8.774,5.702,7.695,6.286,11.844,9.789,5.686,7.032,6.083,9.878,9.259,6.22,2.067,5.911,3.944,8.28,5.105,5.919,6.03,8.592,10.791,8.384,6.86,5.807,6.769,3.655,7.804,10.046
Currie East,10.477,1.386,3.013,5.86,7.008,12.844,8.578,7.203,2.617,10.837,9.588,3.489,10.004,10.252,7.258,9.343,9.429,4.587,6.34,2.185,3.6,4.732,8.3,5.417,4.978,5.69,4.089,12.502,8.134,4.733,10.798,8.089,,1.037,8.785,7.207,7.527,8.004,12.309,6.076,5.238,10.945,6.503,10.775,10.221,6.596,5.823,9.079,9.731,9.97,9.028,11.423,5.58,10.331,10.138,9.78,13.164,13.915,10.627,11.781,9.737,8.816,3.755,8.376,7.833,10.952,8.704,6.81,10.35,6.878,6.027,8.333,12.199,8.253,2.666,6.769,9.727,8.913,9.162,11.939,11.419,11.732,9.067,5.03,3.005,10.798,6.672,13.248,9.61,10.935,11.918,5.179,11.935,11.683,5.982,7.785,5.054,4.155,11.256,4.525,8.798,2.2,8.297,9.48,11.951,7.987,10.317,10.975,8.758,11.879,11.367
Currie West,11.486,2.397,2.05,6.757,7.434,13.881,9.615,7.963,3.631,11.781,10.435,4.327,10.959,11.221,8.268,10.359,10.388,5.403,6.922,3.185,4.635,5.76,9.225,6.414,5.684,6.324,4.825,13.527,9.009,5.757,11.835,8.546,1.037,,8.462,8.192,8.482,8.802,13.345,6.534,5.722,11.94,7.497,11.781,11.195,7.571,6.792,10.059,10.536,10.795,9.773,12.385,6.617,11.324,11.126,10.69,14.199,14.952,11.612,12.773,10.744,9.836,4.721,9.403,8.856,11.96,9.726,7.831,11.363,7.913,7.062,9.319,13.231,8.97,3.605,7.655,10.704,9.876,10.194,12.974,12.348,12.761,10.067,6.044,3.886,11.768,7.666,14.281,10.648,10.85,11.745,4.818,12.951,12.688,6.979,8.459,6.038,4.7,12.236,5.434,9.739,2.981,9.332,10.507,12.914,8.986,11.201,11.891,9.55,12.817,12.396
"Dalmeny, Kirkliston and Newbridge",14.5,8.995,9.105,9.561,5.874,18.07,14.423,8.779,10.526,13.441,11.126,8.307,12.999,13.444,12.101,13.804,12.645,8.36,6.96,9.152,10.834,11.87,11.32,12.886,7.641,7.227,7.737,16.713,10.541,10.761,16.437,6.397,8.785,8.462,,11.542,11.264,9.576,17.302,6.04,6.225,14.527,13.847,17.467,17.402,10.991,10.44,16.303,10.71,11.105,9.584,14.226,12.138,13.996,17.167,12.121,18.666,18.914,14.048,15.135,16.504,15.431,9.397,13.396,12.864,14.877,13.515,12.052,16.947,12.654,12.066,15.546,16.764,8.863,8.82,9.903,13.198,12.34,14.289,17.598,13.645,16.233,13.188,12.355,8.501,13.878,11.359,17.834,15.152,3.21,3.55,3.644,15.942,15.378,10.974,8.221,10.216,6.691,14.469,9.118,11.889,7.992,13.783,15.793,14.683,12.361,12.138,13.099,9.932,14.151,15.925
Dalry and Fountainbridge,3.372,5.822,10.22,2.004,6.015,6.561,3.113,3.254,5.238,3.748,3.47,4.152,2.878,3.065,0.711,2.377,2.295,3.445,4.713,5.022,4.168,3.753,1.625,4.337,3.962,4.322,4.205,5.557,2.189,2.652,4.911,6.217,7.207,8.192,11.542,,0.702,3.065,5.829,5.551,5.331,3.756,4.445,6.31,6.672,0.648,1.426,5.826,4.003,3.99,4.155,4.249,2.879,3.138,6.321,2.998,7.13,7.477,3.42,4.583,5.522,4.509,3.476,1.868,1.386,3.837,1.977,1.123,5.779,1.903,2.162,5.25,5.427,4.034,4.603,1.752,2.524,1.773,2.749,6.06,4.397,4.905,1.92,4.032,4.426,3.607,0.575,6.522,3.647,11.765,13.097,9.324,4.886,4.535,1.251,4.261,2.154,5.162,4.049,2.95,1.848,5.411,2.377,4.574,4.769,0.874,3.704,4.052,3.514,4.8,4.559
Deans Village,3.353,6.154,10.526,1.921,5.604,6.807,3.679,2.733,5.721,3.315,2.779,4.294,2.478,2.752,1.378,2.54,1.907,3.444,4.345,5.357,4.69,4.38,0.953,5.014,3.819,4.046,4.208,5.587,1.495,3.162,5.302,5.705,7.527,8.482,11.264,0.702,,2.423,6.038,5.231,5.112,3.604,5.146,6.862,7.292,1.005,1.718,6.481,3.302,3.297,3.473,3.903,3.547,2.993,6.93,2.406,7.422,7.661,3.206,4.392,6.12,5.132,3.772,2.319,1.936,3.789,2.323,1.825,6.335,2.601,2.844,5.925,5.542,3.408,4.877,1.361,2.272,1.401,3.134,6.412,3.924,5.011,1.946,4.687,4.635,3.298,1.182,6.63,4.085,11.32,12.659,9.241,4.866,4.431,1.753,3.695,2.511,5.089,3.801,3.097,1.3,5.611,2.925,5.135,4.434,1.157,3.082,3.529,2.826,4.364,4.686
Drylaw,5.06,6.771,10.822,2.418,3.706,8.81,6.094,0.934,6.902,3.886,1.76,4.517,3.431,3.884,3.774,4.639,3.133,3.416,2.743,6.059,6.089,6.18,1.947,7.012,3.193,2.864,3.989,7.204,1.076,4.702,7.556,3.493,8.004,8.802,9.576,3.065,2.423,,7.997,3.684,3.944,4.982,7.354,9.262,9.715,2.963,3.174,8.89,1.735,2.019,1.206,4.666,5.568,4.494,9.352,2.559,9.493,9.526,4.497,5.559,8.541,7.555,4.583,4.697,4.356,5.385,4.63,4.131,8.738,4.933,4.964,8.31,7.342,0.994,5.434,1.65,3.705,2.936,5.436,8.596,4.182,6.822,3.958,6.589,5.019,4.302,3.341,8.369,6.412,9.179,10.524,8.232,6.42,5.824,3.584,1.428,3.798,4.445,4.893,3.636,2.427,5.829,5.337,7.544,5.144,3.523,2.723,3.638,0.757,4.699,6.553
