,0
"#Available_Scooters_(15,_2)",1.0
"#Available_Scooters_(15,_3)",2.0
"#Available_Scooters_(15,_4)",1.0
"#Available_Scooters_(15,_5)",0.0
"#Available_Scooters_(15,_6)",0.0
"#Available_Scooters_(15,_7)",0.0
"#Available_Scooters_(15,_8)",0.0
"#Available_Scooters_(15,_9)",0.0
"#Available_Scooters_(16,_0)",2.0
"#Available_Scooters_(16,_1)",7.0
"#Available_Scooters_(16,_10)",89.0
"#Available_Scooters_(16,_11)",55.0
"#Available_Scooters_(16,_12)",15.0
"#Available_Scooters_(16,_13)",10.0
"#Available_Scooters_(16,_14)",6.0
"#Available_Scooters_(16,_15)",2.0
"#Available_Scooters_(16,_16)",2.0
"#Available_Scooters_(16,_17)",1.0
"#Available_Scooters_(16,_18)",1.0
"#Available_Scooters_(16,_19)",1.0
"#Available_Scooters_(16,_2)",19.0
"#Available_Scooters_(16,_3)",45.0
"#Available_Scooters_(16,_4)",78.0
"#Available_Scooters_(16,_5)",89.0
"#Available_Scooters_(16,_6)",96.0
"#Available_Scooters_(16,_7)",97.0
"#Available_Scooters_(16,_8)",99.0
"#Available_Scooters_(16,_9)",100.0
"#Available_Scooters_(17,_0)",7.0
"#Available_Scooters_(17,_1)",7.0
"#Available_Scooters_(17,_10)",0.0
"#Available_Scooters_(17,_11)",2.0
"#Available_Scooters_(17,_12)",5.0
"#Available_Scooters_(17,_13)",6.0
"#Available_Scooters_(17,_14)",7.0
"#Available_Scooters_(17,_15)",7.0
"#Available_Scooters_(17,_16)",7.0
"#Available_Scooters_(17,_17)",7.0
"#Available_Scooters_(17,_18)",7.0
"#Available_Scooters_(17,_19)",7.0
"#Available_Scooters_(17,_2)",4.0
"#Available_Scooters_(17,_3)",2.0
"#Available_Scooters_(17,_4)",0.0
"#Available_Scooters_(17,_5)",0.0
"#Available_Scooters_(17,_6)",0.0
"#Available_Scooters_(17,_7)",0.0
"#Available_Scooters_(17,_8)",0.0
"#Available_Scooters_(17,_9)",0.0
"#Available_Scooters_(18,_0)",28.0
"#Available_Scooters_(18,_1)",26.0
"#Available_Scooters_(18,_10)",3.0
"#Available_Scooters_(18,_11)",9.0
"#Available_Scooters_(18,_12)",20.0
"#Available_Scooters_(18,_13)",23.0
"#Available_Scooters_(18,_14)",23.0
"#Available_Scooters_(18,_15)",25.0
"#Available_Scooters_(18,_16)",26.0
"#Available_Scooters_(18,_17)",26.0
"#Available_Scooters_(18,_18)",27.0
"#Available_Scooters_(18,_19)",28.0
"#Available_Scooters_(18,_2)",21.0
"#Available_Scooters_(18,_3)",16.0
"#Available_Scooters_(18,_4)",7.0
"#Available_Scooters_(18,_5)",5.0
"#Available_Scooters_(18,_6)",4.0
"#Available_Scooters_(18,_7)",4.0
"#Available_Scooters_(18,_8)",3.0
"#Available_Scooters_(18,_9)",2.0
"#Available_Scooters_(19,_0)",3.0
"#Available_Scooters_(19,_1)",12.0
"#Available_Scooters_(19,_10)",58.0
"#Available_Scooters_(19,_11)",57.0
"#Available_Scooters_(19,_12)",44.0
"#Available_Scooters_(19,_13)",23.0
"#Available_Scooters_(19,_14)",15.0
"#Available_Scooters_(19,_15)",6.0
"#Available_Scooters_(19,_16)",4.0
"#Available_Scooters_(19,_17)",4.0
"#Available_Scooters_(19,_18)",3.0
"#Available_Scooters_(19,_19)",0.0
"#Available_Scooters_(19,_2)",31.0
"#Available_Scooters_(19,_3)",47.0
"#Available_Scooters_(19,_4)",61.0
"#Available_Scooters_(19,_5)",68.0
"#Available_Scooters_(19,_6)",68.0
"#Available_Scooters_(19,_7)",68.0
"#Available_Scooters_(19,_8)",69.0
"#Available_Scooters_(19,_9)",70.0
"#Available_Scooters_(2,_0)",12.0
"#Available_Scooters_(2,_1)",11.0
"#Available_Scooters_(2,_10)",2.0
"#Available_Scooters_(2,_11)",4.0
"#Available_Scooters_(2,_12)",6.0
"#Available_Scooters_(2,_13)",8.0
"#Available_Scooters_(2,_14)",11.0
"#Available_Scooters_(2,_15)",12.0
"#Available_Scooters_(2,_16)",12.0
"#Available_Scooters_(2,_17)",12.0
"#Available_Scooters_(2,_18)",12.0
"#Available_Scooters_(2,_19)",12.0
"#Available_Scooters_(2,_2)",8.0
"#Available_Scooters_(2,_3)",4.0
"#Available_Scooters_(2,_4)",1.0
"#Available_Scooters_(2,_5)",0.0
"#Available_Scooters_(2,_6)",0.0
"#Available_Scooters_(2,_7)",0.0
"#Available_Scooters_(2,_8)",0.0
"#Available_Scooters_(2,_9)",0.0
"#Available_Scooters_(3,_0)",19.0
"#Available_Scooters_(3,_1)",18.0
"#Available_Scooters_(3,_10)",1.0
"#Available_Scooters_(3,_11)",3.0
"#Available_Scooters_(3,_12)",11.0
"#Available_Scooters_(3,_13)",17.0
"#Available_Scooters_(3,_14)",19.0
"#Available_Scooters_(3,_15)",19.0
"#Available_Scooters_(3,_16)",19.0
"#Available_Scooters_(3,_17)",19.0
"#Available_Scooters_(3,_18)",19.0
"#Available_Scooters_(3,_19)",19.0
"#Available_Scooters_(3,_2)",16.0
"#Available_Scooters_(3,_3)",10.0
"#Available_Scooters_(3,_4)",2.0
"#Available_Scooters_(3,_5)",2.0
"#Available_Scooters_(3,_6)",1.0
"#Available_Scooters_(3,_7)",1.0
"#Available_Scooters_(3,_8)",1.0
"#Available_Scooters_(3,_9)",1.0
"#Available_Scooters_(4,_0)",1.0
"#Available_Scooters_(4,_1)",1.0
"#Available_Scooters_(4,_10)",3.0
"#Available_Scooters_(4,_11)",3.0
"#Available_Scooters_(4,_12)",6.0
"#Available_Scooters_(4,_13)",2.0
"#Available_Scooters_(4,_14)",3.0
"#Available_Scooters_(4,_15)",4.0
"#Available_Scooters_(4,_16)",4.0
"#Available_Scooters_(4,_17)",4.0
"#Available_Scooters_(4,_18)",4.0
"#Available_Scooters_(4,_19)",4.0
"#Available_Scooters_(4,_2)",1.0
"#Available_Scooters_(4,_3)",4.0
"#Available_Scooters_(4,_4)",1.0
"#Available_Scooters_(4,_5)",1.0
"#Available_Scooters_(4,_6)",1.0
"#Available_Scooters_(4,_7)",1.0
"#Available_Scooters_(4,_8)",0.0
"#Available_Scooters_(4,_9)",0.0
"#Available_Scooters_(5,_0)",10.0
"#Available_Scooters_(5,_1)",9.0
"#Available_Scooters_(5,_10)",2.0
"#Available_Scooters_(5,_11)",2.0
"#Available_Scooters_(5,_12)",5.0
"#Available_Scooters_(5,_13)",7.0
"#Available_Scooters_(5,_14)",9.0
"#Available_Scooters_(5,_15)",10.0
"#Available_Scooters_(5,_16)",10.0
"#Available_Scooters_(5,_17)",10.0
"#Available_Scooters_(5,_18)",10.0
"#Available_Scooters_(5,_19)",10.0
"#Available_Scooters_(5,_2)",6.0
"#Available_Scooters_(5,_3)",4.0
"#Available_Scooters_(5,_4)",1.0
"#Available_Scooters_(5,_5)",0.0
"#Available_Scooters_(5,_6)",0.0
"#Available_Scooters_(5,_7)",0.0
"#Available_Scooters_(5,_8)",0.0
"#Available_Scooters_(5,_9)",0.0
"#Available_Scooters_(6,_0)",7.0
"#Available_Scooters_(6,_1)",5.0
"#Available_Scooters_(6,_10)",5.0
"#Available_Scooters_(6,_11)",5.0
"#Available_Scooters_(6,_12)",7.0
"#Available_Scooters_(6,_13)",7.0
"#Available_Scooters_(6,_14)",6.0
"#Available_Scooters_(6,_15)",7.0
"#Available_Scooters_(6,_16)",6.0
"#Available_Scooters_(6,_17)",6.0
"#Available_Scooters_(6,_18)",6.0
"#Available_Scooters_(6,_19)",7.0
"#Available_Scooters_(6,_2)",3.0
"#Available_Scooters_(6,_3)",5.0
"#Available_Scooters_(6,_4)",3.0
"#Available_Scooters_(6,_5)",1.0
"#Available_Scooters_(6,_6)",1.0
"#Available_Scooters_(6,_7)",1.0
"#Available_Scooters_(6,_8)",1.0
"#Available_Scooters_(6,_9)",1.0
"#Available_Scooters_(7,_0)",7.0
"#Available_Scooters_(7,_1)",7.0
"#Available_Scooters_(7,_10)",0.0
"#Available_Scooters_(7,_11)",2.0
"#Available_Scooters_(7,_12)",4.0
"#Available_Scooters_(7,_13)",8.0
"#Available_Scooters_(7,_14)",9.0
"#Available_Scooters_(7,_15)",9.0
"#Available_Scooters_(7,_16)",9.0
"#Available_Scooters_(7,_17)",9.0
"#Available_Scooters_(7,_18)",9.0
"#Available_Scooters_(7,_19)",9.0
"#Available_Scooters_(7,_2)",5.0
"#Available_Scooters_(7,_3)",1.0
"#Available_Scooters_(7,_4)",0.0
"#Available_Scooters_(7,_5)",0.0
"#Available_Scooters_(7,_6)",0.0
"#Available_Scooters_(7,_7)",0.0
"#Available_Scooters_(7,_8)",0.0
"#Available_Scooters_(7,_9)",0.0
"#Available_Scooters_(8,_0)",28.0
"#Available_Scooters_(8,_1)",25.0
"#Available_Scooters_(8,_10)",1.0
"#Available_Scooters_(8,_11)",3.0
"#Available_Scooters_(8,_12)",9.0
"#Available_Scooters_(8,_13)",16.0
"#Available_Scooters_(8,_14)",22.0
"#Available_Scooters_(8,_15)",24.0
"#Available_Scooters_(8,_16)",25.0
"#Available_Scooters_(8,_17)",25.0
"#Available_Scooters_(8,_18)",25.0
"#Available_Scooters_(8,_19)",25.0
"#Available_Scooters_(8,_2)",18.0
"#Available_Scooters_(8,_3)",9.0
"#Available_Scooters_(8,_4)",3.0
"#Available_Scooters_(8,_5)",1.0
"#Available_Scooters_(8,_6)",0.0
"#Available_Scooters_(8,_7)",0.0
"#Available_Scooters_(8,_8)",0.0
"#Available_Scooters_(8,_9)",0.0
"#Available_Scooters_(9,_0)",7.0
"#Available_Scooters_(9,_1)",6.0
"#Available_Scooters_(9,_10)",4.0
"#Available_Scooters_(9,_11)",5.0
"#Available_Scooters_(9,_12)",6.0
"#Available_Scooters_(9,_13)",8.0
"#Available_Scooters_(9,_14)",6.0
"#Available_Scooters_(9,_15)",7.0
"#Available_Scooters_(9,_16)",6.0
"#Available_Scooters_(9,_17)",7.0
"#Available_Scooters_(9,_18)",7.0
"#Available_Scooters_(9,_19)",7.0
"#Available_Scooters_(9,_2)",5.0
"#Available_Scooters_(9,_3)",6.0
"#Available_Scooters_(9,_4)",5.0
"#Available_Scooters_(9,_5)",2.0
"#Available_Scooters_(9,_6)",1.0
"#Available_Scooters_(9,_7)",1.0
"#Available_Scooters_(9,_8)",1.0
