Row Labels,Balgreen and Roseburn,Blackhall,Broughton North and Powderhall,Broughton South,Bruntsfield,Comely Bank,Dalry and Fountainbridge,Drylaw,Gorgie East,Hillside and Calton Hill,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Merchiston and Greenhill,New Town East and Gayfield,Newington and Dalkeith Road,"Old Town, Princes Street and Leith Street",Prestonfield,Stockbridge,Tollcross
Balgreen and Roseburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackhall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Broughton North and Powderhall,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Broughton South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruntsfield,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2
Comely Bank,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Dalry and Fountainbridge,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
Drylaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgie East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillside and Calton Hill,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Marchmont East and Sciennes,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Marchmont West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Meadowbank and Abbeyhill North,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Merchiston and Greenhill,0,0,0,0,2,0,3,0,1,0,1,1,0,0,0,0,0,0,0,3
New Town East and Gayfield,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1
Newington and Dalkeith Road,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"Old Town, Princes Street and Leith Street",1,1,7,10,8,3,7,1,2,15,12,10,8,4,10,6,0,1,8,14
Prestonfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stockbridge,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
Tollcross,1,1,3,2,12,5,12,1,5,3,5,5,1,6,3,2,5,1,8,0
